,Country,Name,URL
7110,US,Abilene Christian University,http://www.acu.edu/
7111,US,Academy of Art College,http://www.academyart.edu/
7112,US,Adams State College,http://www.adams.edu/
7115,US,Adrian College,http://www.adrian.edu/
7118,US,Alabama Agricultural and Mechanical University,http://www.aamu.edu/
7119,US,Alabama State University,http://www.alasu.edu/
7122,US,Albany College of Pharmacy,http://www.acp.edu/
7123,US,Albany Law School,http://www.albanylaw.edu/
7124,US,Albany Medical Center,http://www.amc.edu/
7125,US,Albany State University,http://www.asurams.edu/
7126,US,Albertus Magnus College,http://www.albertus.edu/
7127,US,Albion College,http://www.albion.edu/
7132,US,Alfred University,http://www.alfred.edu/
7136,US,Alma College,http://www.alma.edu/
7137,US,Alvernia College,http://www.alvernia.edu/
7138,US,Alverno College,http://www.alverno.edu/
7139,US,Ambassador University,http://www.ambassador.edu/
7149,US,American InterContinental University - Ft. Lauderdale,http://www.aiuniv.edu/
7150,US,American InterContinental University - Georgia,http://www.aiuniv.edu/
7155,US,American Public University,http://www.apus.edu/
7158,US,Amherst College,http://www.amherst.edu/
7163,US,Andrew Jackson University,http://www.aju.edu/
7164,US,Andrews University,http://www.andrews.edu/
7165,US,Angelo State University,http://www.angelo.edu/
7173,US,Appalachian State University,http://www.appstate.edu/
7174,US,Aquinas College,http://www.aquinas.edu/
7175,US,Arcadia University,http://www.arcadia.edu/
7179,US,Arizona State University,http://www.asu.edu/
7184,US,Arkansas State University,http://www.astate.edu/
7185,US,"Arkansas State University, Beebe",http://www.asub.edu/
7187,US,"Arkansas State University, Newport",http://www.asun.edu/
7188,US,Arkansas Tech University,http://www.atu.edu/
7190,US,Armstrong Atlantic State University,http://www.armstrong.edu/
7192,US,Art Academy of Cincinnati,http://www.artacademy.edu/
7193,US,Art Center College of Design,http://www.artcenter.edu/
7195,US,Art Institute of Charlotte,http://www.aich.artinstitutes.edu/
7197,US,Asbury College,http://www.asbury.edu/
7198,US,Ashland University,http://www.ashland.edu/
7199,US,Assumption College,http://www.assumption.edu/
7206,US,Atlantic University,http://www.atlanticuniv.edu/
7207,US,Auburn University,http://www.auburn.edu/
7208,US,Auburn University at Montgomery,http://www.aum.edu/
7210,US,Augsburg College,http://www.augsburg.edu/
